fecha,valor,completo_mediciones,completo_umbral
2018/02/27,0.30,99.0,95.8
2018/02/28,5.50,100.0,100.0
2018/03/01,2.20,99.7,100.0
2018/03/02,6.00,100.0,100.0
2018/03/03,4.20,100.0,100.0
2018/03/04,0.90,100.0,100.0
2018/03/05,0.00,100.0,100.0
2018/03/06,1.20,100.0,100.0
2018/03/07,0.80,100.0,100.0
2018/03/08,1.20,100.0,100.0
2018/03/09,0.10,100.0,100.0
2018/03/10,0.00,100.0,100.0
2018/03/11,0.30,100.0,100.0
2018/03/12,0.00,100.0,100.0
2018/03/13,0.00,100.0,100.0
2018/03/14,0.00,100.0,100.0
2018/03/15,0.00,100.0,100.0
2018/03/16,2.60,100.0,100.0
2018/03/17,0.30,100.0,100.0
2018/03/18,0.10,100.0,100.0
2018/03/19,0.00,100.0,100.0
2018/03/20,0.20,100.0,100.0
2018/03/21,1.60,100.0,100.0
2018/03/22,2.00,100.0,100.0
2018/03/23,21.20,100.0,100.0
2018/03/24,8.70,100.0,100.0
2018/03/25,1.80,100.0,100.0
2018/03/26,0.70,100.0,100.0
2018/03/27,0.00,100.0,100.0
2018/03/28,0.00,100.0,100.0
2018/03/29,3.90,100.0,100.0
2018/03/30,1.30,100.0,100.0
2018/03/31,13.80,100.0,100.0
2018/04/01,16.10,100.0,100.0
2018/04/02,3.10,100.0,100.0
2018/04/03,5.90,100.0,100.0
2018/04/04,16.30,100.0,100.0
2018/04/05,13.70,100.0,100.0
2018/04/06,7.50,100.0,100.0
2018/04/07,9.00,100.0,100.0
2018/04/08,0.20,100.0,100.0
2018/04/09,0.00,100.0,100.0
2018/04/10,5.50,100.0,100.0
2018/04/11,1.70,100.0,100.0
2018/04/12,0.10,100.0,100.0
2018/04/13,0.00,100.0,100.0
2018/04/14,0.00,100.0,100.0
2018/04/15,0.20,100.0,100.0
2018/04/16,5.00,100.0,100.0
2018/04/17,0.90,99.3,100.0
2018/04/18,0.40,100.0,100.0
2018/04/19,2.60,100.0,100.0
2018/04/20,0.70,100.0,100.0
2018/04/21,0.80,100.0,100.0
2018/04/22,1.10,100.0,100.0
2018/04/23,3.30,100.0,100.0
2018/04/24,0.30,100.0,100.0
